"","Address","Arena","City","State  Abrv","State","Team","Gender Distinction","Conference","Capacity","Opened","Lat","Lon"
"142","Denton, TX, UNT Coliseum","UNT Coliseum","Denton","TX","Texas","North Texas",NA,"C-USA","10,032","1973",-97.1540981,33.2086228
"143","Norfolk, VA, Ted Constant Convocation Center","Ted Constant Convocation Center","Norfolk","VA","Virginia","Old Dominion",NA,"C-USA","9,520","2002",-76.3013211,36.8841435
"144","Houston, TX, Tudor Fieldhouse","Tudor Fieldhouse","Houston","TX","Texas","Rice",NA,"C-USA","5,750","1950",-95.40389,29.7151
"145","Hattiesburg, MS, Reed Green Coliseum","Reed Green Coliseum","Hattiesburg","MS","Mississippi","Southern Miss",NA,"C-USA","8,095","1965",-89.3374354,31.3304184
"146","Birmingham, AL, Bartow Arena","Bartow Arena","Birmingham","AL","Alabama","UAB",NA,"C-USA","8,508","1988",-86.8092712,33.5022194
"147","El Paso, TX, Don Haskins Center","Don Haskins Center","El Paso","TX","Texas","UTEP",NA,"C-USA","12,222","1976",-106.505605,31.777715
"148","San Antonio, TX, Convocation Center","Convocation Center","San Antonio","TX","Texas","UTSA",NA,"C-USA","4,080","1975",-98.6214107,29.5823631
"149","Bowling Green, KY, E. A. Diddle Arena","E. A. Diddle Arena","Bowling Green","KY","Kentucky","Western Kentucky",NA,"C-USA","7,326","1963",-86.4576141,36.9863238
"150","Cleveland, OH, Wolstein Center","Wolstein Center","Cleveland","OH","Ohio","Cleveland State",NA,"Horizon","13,610","1991",-81.676497,41.499205
"151","Detroit, MI, Calihan Hall","Calihan Hall","Detroit","MI","Michigan","Detroit Mercy",NA,"Horizon","8,295","1952",-83.1360608,42.4143679
"152","Ashwaubenon, WI, Resch Center","Resch Center","Ashwaubenon","WI","Wisconsin","Green Bay men","Men","Horizon","9,729","2002",-88.0549032,44.4995277
"153","Indianapolis, IN, Indiana Farmers Coliseum","Indiana Farmers Coliseum","Indianapolis","IN","Indiana","IUPUI men","Men","Horizon","6,841","1939",-86.1350072,39.8276805
"154","Milwaukee, WI, UW–Milwaukee Panther Arena","UW–Milwaukee Panther Arena","Milwaukee","WI","Wisconsin","Milwaukee men","Men","Horizon","10,783","1950",-87.9168724,43.0417381
"155","Highland Heights, KY, BB&T Arena","BB&T Arena","Highland Heights","KY","Kentucky","Northern Kentucky",NA,"Horizon","9,400","2008",-84.4534928,39.0332737
"156","Rochester, MI, Athletics Center O'rena","Athletics Center O'rena","Rochester","MI","Michigan","Oakland",NA,"Horizon","4,005","1998",-83.2129533,42.6740472
"157","Chicago, IL, UIC Pavilion","UIC Pavilion","Chicago","IL","Illinois","UIC",NA,"Horizon","6,958","1982",-87.6561411,41.8748558
"158","Fairborn, OH, Nutter Center","Nutter Center","Fairborn","OH","Ohio","Wright State",NA,"Horizon","10,400","1990",-84.052137,39.782096
"159","Youngstown, OH, Beeghly Center","Beeghly Center","Youngstown","OH","Ohio","Youngstown State",NA,"Horizon","6,500","1972",-80.6490217,41.1083058
"160","Providence, RI, Pizzitola Sports Center","Pizzitola Sports Center","Providence","RI","Rhode Island","Brown",NA,"Ivy","2,800","1989",-71.3980885,41.8316983
"161","New York, NY, Levien Gymnasium","Levien Gymnasium","New York","NY","New York","Columbia",NA,"Ivy","3,408","1974",-73.961672,40.80953
"162","Ithaca, NY, Newman Arena","Newman Arena","Ithaca","NY","New York","Cornell",NA,"Ivy","4,473","1990",-76.4764139,42.4458085
"163","Hanover, NH, Leede Arena","Leede Arena","Hanover","NH","New Hampshire","Dartmouth",NA,"Ivy","2,100","1986",-72.2829133,43.7030082
"164","Allston, MA, Lavietes Pavilion","Lavietes Pavilion","Allston","MA","Massachusetts","Harvard",NA,"Ivy","2,195","1982",-71.1252674,42.368211
"165","Philadelphia, PA, Palestra","Palestra","Philadelphia","PA","Pennsylvania","Penn",NA,"Ivy","8,722","1927",-75.1887032,39.9513911
"166","Princeton, NJ, Jadwin Gymnasium","Jadwin Gymnasium","Princeton","NJ","New Jersey","Princeton",NA,"Ivy","6,854","1969",-74.6486685,40.3434557
"167","New Haven, CT, Payne Whitney Gymnasium","Payne Whitney Gymnasium","New Haven","CT","Connecticut","Yale",NA,"Ivy","2,532","1932",-72.9305569,41.3139597
"168","Buffalo, NY, Koessler Athletic Center","Koessler Athletic Center","Buffalo","NY","New York","Canisius",NA,"MAAC","2,176","1968",-78.8575314,42.9209439
"169","Bridgeport, CT, Webster Bank Arena","Webster Bank Arena","Bridgeport","CT","Connecticut","Fairfield",NA,"MAAC","9,000","2001",-73.1870019,41.1732434
"170","New Rochelle, NY, Hynes Athletic Center","Hynes Athletic Center","New Rochelle","NY","New York","Iona",NA,"MAAC","2,611","1974",-73.7856427,40.9261352
"171","Bronx, NY, Draddy Gymnasium","Draddy Gymnasium","Bronx","NY","New York","Manhattan",NA,"MAAC","2,345","1978[2]",-73.9002497,40.89078
"172","Poughkeepsie, NY, McCann Field House","McCann Field House","Poughkeepsie","NY","New York","Marist",NA,"MAAC","3,200","1977",-73.9351196,41.7173277
