Address	Arena 	City 	State  Abrv	State	Team 	Gender Distinction	Conference 	Capacity 	Opened
"Providence, RI, Pizzitola Sports Center"	Pizzitola Sports Center	Providence	RI	Rhode Island	Brown 		Ivy 	"2,800"	1989
"New York, NY, Levien Gymnasium"	Levien Gymnasium	New York	NY	New York	Columbia 		Ivy 	"3,408"	1974
"Ithaca, NY, Newman Arena"	Newman Arena	Ithaca	NY	New York	Cornell 		Ivy 	"4,473"	1990
"Hanover, NH, Leede Arena"	Leede Arena	Hanover	NH	New Hampshire	Dartmouth 		Ivy 	"2,100"	1986
"Allston, MA, Lavietes Pavilion"	Lavietes Pavilion	Allston	MA	Massachusetts	Harvard 		Ivy 	"2,195"	1982
"Philadelphia, PA, Palestra"	Palestra	Philadelphia	PA	Pennsylvania	Penn 		Ivy 	"8,722"	1927
"Princeton, NJ, Jadwin Gymnasium"	Jadwin Gymnasium	Princeton	NJ	New Jersey	Princeton 		Ivy 	"6,854"	1969
"New Haven, CT, Payne Whitney Gymnasium"	Payne Whitney Gymnasium	New Haven	CT	Connecticut	Yale 		Ivy 	"2,532"	1932
"Buffalo, NY, Koessler Athletic Center"	Koessler Athletic Center	Buffalo	NY	New York	Canisius 		MAAC 	"2,176"	1968
"Bridgeport, CT, Webster Bank Arena"	Webster Bank Arena	Bridgeport	CT	Connecticut	Fairfield 		MAAC 	"9,000"	2001
"New Rochelle, NY, Hynes Athletic Center"	Hynes Athletic Center	New Rochelle	NY	New York	Iona 		MAAC 	"2,611"	1974
"Bronx, NY, Draddy Gymnasium"	Draddy Gymnasium	Bronx	NY	New York	Manhattan 		MAAC 	"2,345"	1978[2]
"Poughkeepsie, NY, McCann Field House"	McCann Field House	Poughkeepsie	NY	New York	Marist 		MAAC 	"3,200"	1977
"West Long Branch, NJ, Multipurpose Activity Center"	Multipurpose Activity Center	West Long Branch	NJ	New Jersey	Monmouth 		MAAC 	"4,100"	2009
"Lewiston, NY, Gallagher Center"	Gallagher Center	Lewiston	NY	New York	Niagara 		MAAC 	"2,400"	1949
"Hamden, CT, TD Bank Sports Center"	TD Bank Sports Center	Hamden	CT	Connecticut	Quinnipiac 		MAAC 	"3,570"	2007
"Lawrenceville, NJ, Alumni Gymnasium"	Alumni Gymnasium	Lawrenceville	NJ	New Jersey	Rider 		MAAC 	"1,950"	1958
"Albany, NY, Times Union Center"	Times Union Center	Albany	NY	New York	Siena 	Men	MAAC 	"15,229"	1990
"Jersey City, NJ, Yanitelli Center"	Yanitelli Center	Jersey City	NJ	New Jersey	Saint Peter's 		MAAC 	"3,200"	1975
"Akron, OH, James A. Rhodes Arena"	James A. Rhodes Arena	Akron	OH	Ohio	Akron 		MAC 	"5,500"	1983
"Muncie, IN, John E. Worthen Arena"	John E. Worthen Arena	Muncie	IN	Indiana	Ball State 		MAC 	"11,500"	1991
"Bowling Green, OH, Stroh Center"	Stroh Center	Bowling Green	OH	Ohio	Bowling Green 		MAC 	"4,700"	2011
"Amherst, NY, Alumni Arena"	Alumni Arena	Amherst	NY	New York	Buffalo 		MAC 	"6,100"	1982
"Mount Pleasant, MI, McGuirk Arena"	McGuirk Arena	Mount Pleasant	MI	Michigan	Central Michigan 		MAC 	"5,300"	1973
"Ypsilanti, MI, Convocation Center"	Convocation Center	Ypsilanti	MI	Michigan	Eastern Michigan 		MAC 	"8,824"	1998
"Kent, OH, Memorial Athletic and Convocation Center"	Memorial Athletic and Convocation Center	Kent	OH	Ohio	Kent State 		MAC 	"6,327"	1950
